name,cluster,x,y,second,frame,anger,disgust,neutral,sadness,contempt,happy,surprise,fear
faceframe_second0_frame14_0,0,10.1523905,-4.8858585,0,14,0.20933930575847626,0.2088775783777237,0.15616299211978912,0.09450549632310867,0.08478350192308426,,,
faceframe_second0_frame14_1,3,-6.048005,4.0495834,0,14,0.273624986410141,0.22229509055614471,0.08686798065900803,,0.1480131447315216,0.09424841403961182,,
faceframe_second0_frame14_2,1,10.370284,13.545213,0,14,0.1446727216243744,0.14204271137714386,,0.15470129251480103,0.12969540059566498,,0.13376282155513763,
faceframe_second0_frame21_0,0,10.170601,-4.8676257,0,21,0.216321662068367,0.20887641608715057,0.1546402871608734,0.09429711103439331,0.08605526387691498,,,
faceframe_second0_frame21_1,3,-6.075383,3.9821792,0,21,0.23736321926116943,0.2527891993522644,0.08412260562181473,,0.12641474604606628,0.09652141481637955,,
faceframe_second0_frame21_2,1,10.402387,13.5370655,0,21,0.15637962520122528,0.17157499492168427,0.12983131408691406,0.11721757054328918,,,0.15310847759246826,
faceframe_second0_frame29_0,0,10.184746,-4.854503,0,29,0.20396192371845245,0.19601641595363617,0.16686350107192993,0.0905366763472557,0.08778312057256699,,,
faceframe_second0_frame29_1,3,-6.06465,4.0417852,0,29,0.24291810393333435,0.25001683831214905,,0.08291634917259216,0.12737765908241272,0.094023197889328,,
faceframe_second0_frame29_2,1,10.368385,13.525096,0,29,0.16850866377353668,0.17834003269672394,0.12642547488212585,0.12729781866073608,,,0.13583697378635406,
faceframe_second0_frame7_0,0,10.190899,-4.8709955,0,7,0.21848760545253754,0.21717853844165802,0.1660739630460739,0.08994301408529282,0.0824003666639328,,,
faceframe_second0_frame7_1,3,-6.0314436,4.08573,0,7,0.26671382784843445,0.2245240956544876,0.0920993760228157,,0.14499962329864502,0.09798966348171234,,
faceframe_second0_frame7_2,1,10.306864,13.5020275,0,7,0.1432168185710907,0.18488119542598724,0.11791475117206573,0.1324937492609024,,,0.14209988713264465,
faceframe_second10_frame307_0,0,8.737161,-4.4173536,10,307,0.17689432203769684,0.21914738416671753,0.14267657697200775,0.09989795088768005,,,0.1031661108136177,
faceframe_second10_frame307_1,1,13.630337,11.865056,10,307,0.13188306987285614,0.20429348945617676,0.11971579492092133,,0.12192016839981079,,0.13642844557762146,
faceframe_second10_frame307_2,2,-4.3048677,8.296047,10,307,0.16507145762443542,0.21291247010231018,0.12025031447410583,,0.10035190731287003,0.13341853022575378,,
faceframe_second10_frame314_0,0,8.731887,-4.463075,10,314,0.1791086196899414,0.215210422873497,0.15729497373104095,0.09588389098644257,,,0.09255322068929672,
faceframe_second10_frame314_1,2,-4.344406,8.301759,10,314,0.16086988151073456,0.25238361954689026,0.11177441477775574,,0.09433801472187042,0.13275672495365143,,
faceframe_second10_frame321_0,0,8.72418,-4.472414,10,321,0.1712532341480255,0.23533451557159424,0.1432674527168274,0.1003694161772728,,,0.09181180596351624,
faceframe_second10_frame321_1,2,-4.257553,8.413403,10,321,0.16753777861595154,0.21063442528247833,0.11841681599617004,,0.10686622560024261,0.12772254645824432,,
faceframe_second10_frame329_0,0,8.757453,-4.4575534,10,329,0.1676734983921051,0.2229386270046234,0.1384347379207611,0.10079218447208405,,0.10198484361171722,,
faceframe_second10_frame329_1,2,-4.299264,8.349748,10,329,0.1738213747739792,0.22498977184295654,0.11749255657196045,,0.10097040235996246,0.12272628396749496,,
faceframe_second11_frame337_0,0,8.83562,-3.794656,11,337,0.1998145580291748,0.24742072820663452,0.09840396791696548,0.11357586085796356,0.09214122593402863,,,
faceframe_second11_frame344_0,0,8.951739,-4.0835123,11,344,0.1936735212802887,0.20440390706062317,0.11376196146011353,0.11621680855751038,0.10248667746782303,,,
faceframe_second11_frame351_0,0,8.854691,-4.0573773,11,351,0.1996896117925644,0.2200477570295334,0.11946768313646317,0.11171278357505798,0.0969691127538681,,,
faceframe_second11_frame359_0,0,8.826778,-4.0397496,11,359,0.17946560680866241,0.2416389435529709,0.11115821450948715,0.10244334489107132,0.09639255702495575,,,
faceframe_second12_frame367_0,0,8.81414,-4.1766458,12,367,0.22930946946144104,0.21608954668045044,0.1641598641872406,0.09386898577213287,,0.08058904111385345,,
