,0,1,2,3
faceframe_second0_frame14_0,0.762026235338173,0.02611301162606665,0.0243241515140412,0.025540812330058293
faceframe_second0_frame14_1,0.01237360849454079,0.0120239043531344,0.04003601622883009,0.6959522569182294
faceframe_second0_frame14_2,0.03162446855690031,0.6389920376835421,0.03056959710572736,0.028414252598316744
faceframe_second0_frame21_0,0.7550991492797684,0.02437239214643433,0.02274741176977597,0.023886289585544274
faceframe_second0_frame21_1,0.012358970618028518,0.012009671738098466,0.03993938833713459,0.7114054328397317
faceframe_second0_frame21_2,0.03195855602459563,0.6137680428181436,0.030852643612089954,0.02867059443695394
faceframe_second0_frame29_0,0.7697575126687858,0.025700789937379193,0.023988316034604492,0.025180971776240103
faceframe_second0_frame29_1,0.011347200619022335,0.011050074566460037,0.036978641806492706,0.6752091747568401
faceframe_second0_frame29_2,0.03240140693949546,0.640905844739324,0.03138858421991619,0.02916910398576507
faceframe_second0_frame7_0,0.7742229959689658,0.02611778515751992,0.02437615657898047,0.025586348335442634
faceframe_second0_frame7_1,0.011782141466959639,0.011485384752911705,0.03852842467577043,0.651878354389196
faceframe_second0_frame7_2,0.031968780641489274,0.6396835981202679,0.03093143595460679,0.02874686189916465
faceframe_second10_frame307_0,1.0,1.01727952650019e-309,9.40382353480687e-310,9.86541091332617e-310
faceframe_second10_frame307_1,0.03433911283268249,0.9087962312776529,0.029464658900253977,0.027399996989410563
faceframe_second10_frame307_2,0.01640907285199104,0.01823339600517209,0.7195209202595688,0.0573819864776342
faceframe_second10_frame314_0,1.0,1.01658233275636e-309,9.39634565899137e-310,9.86202313040925e-310
faceframe_second10_frame314_1,0.016739257777930627,0.018659373184745382,0.70538084280464,0.05873049814988307
faceframe_second10_frame321_0,1.0,1.016904244441417e-309,9.40110223997853e-310,9.86558078592743e-310
faceframe_second10_frame321_1,0.019487318974647505,0.021711637887831838,0.6719291226398567,0.0671698821851207
faceframe_second10_frame329_0,1.0,1.01742349007765e-309,9.4206039690918e-310,9.8924523108253e-310
faceframe_second10_frame329_1,0.018005498601238654,0.02010431500242418,0.6909614863201394,0.06274257218102451
faceframe_second11_frame337_0,1.0,1.030946701238277e-309,9.38637828962984e-310,9.76093543656266e-310
faceframe_second11_frame344_0,1.0,1.02396960528002e-309,9.4294932862976e-310,9.8434356457617e-310
faceframe_second11_frame351_0,1.0,1.02422042324112e-309,9.42465350401783e-310,9.8362587165243e-310
faceframe_second11_frame359_0,1.0,1.026699101297417e-309,9.4490260342639e-310,9.85328038098e-310
faceframe_second12_frame367_0,1.0,1.02605029094384e-309,9.48163799267478e-310,9.9124804868157e-310
faceframe_second12_frame367_1,0.0038813383132352496,0.9897625973942553,0.0032724565317867613,0.0030836077607226254
faceframe_second12_frame367_2,0.028484216451582417,0.03177409208429544,0.2859134805411627,0.08351263550487247
faceframe_second12_frame374_0,1.0,1.028425300650784e-309,9.505217362488e-310,9.92329505256735e-310
faceframe_second12_frame374_1,0.007141639435576472,0.9812232708728323,0.00599304037875416,0.005642049312837129
faceframe_second12_frame374_2,0.02856222211511484,0.03183857288543289,0.2938081586832999,0.08414606205297818
faceframe_second12_frame381_0,1.0,1.028071627865247e-309,9.52908091746104e-310,9.9666220383248e-310
faceframe_second12_frame381_1,0.00530850524945852,0.986016757127239,0.004467236272342594,0.004207501350959944
faceframe_second12_frame381_2,0.028670358952348856,0.03191874212423084,0.2981394674836234,0.08414170820963492
faceframe_second12_frame389_0,1.0,1.03163877895927e-309,9.55512856698817e-310,9.9717201377486e-310
faceframe_second12_frame389_1,0.028654686568821308,0.03203302887502712,0.29497346447355305,0.08393971482330104
faceframe_second12_frame389_2,0.006946298229746322,0.9817486628366274,0.005821094946875855,0.005483943986750268
faceframe_second4_frame134_0,1.0,1.01059644307139e-309,9.3681887025095e-310,9.8355756041594e-310
faceframe_second4_frame134_1,0.03030756555891793,0.03219817209182564,0.2640046574396329,0.0960734746719372
faceframe_second4_frame134_2,1.080149702571984e-309,1.0,8.93262170343237e-310,8.4032578341967e-310
faceframe_second4_frame141_0,1.0,1.011488486659394e-309,9.3641603384512e-310,9.8290754021298e-310
faceframe_second4_frame141_1,0.03054312925599776,0.032475544893028195,0.27108093985927084,0.09704335792657835
faceframe_second4_frame141_2,1.07852748078715e-309,1.0,8.90970216476856e-310,8.3878438081523e-310
faceframe_second4_frame149_0,1.0,1.010719935024834e-309,9.36108227001964e-310,9.8268191624007e-310
faceframe_second4_frame149_1,0.029913122679430235,0.031735197160018,0.25281834949424387,0.0944690788591625
faceframe_second4_frame149_2,0.03800022398066316,0.6305010537318617,0.032580997354921336,0.030168293195326424
faceframe_second50_frame1507_0,0.7719932958423087,0.030695376600689436,0.028390850438595586,0.029794927216592687
faceframe_second50_frame1514_0,0.7437239817278741,0.029375605451027905,0.02717943547648405,0.028541860335651807
faceframe_second50_frame1521_0,0.7390183992611874,0.030341115464422225,0.02807690183485744,0.029487306756384637
faceframe_second50_frame1529_0,0.7729530867462555,0.08725044431104508,0.07029879053244807,0.06949767841025133
faceframe_second51_frame1537_0,0.7728834633754984,0.08721985607545499,0.07034649293793163,0.0695501876111149
faceframe_second51_frame1544_0,0.7765170564390304,0.08578409697910584,0.06923414335703518,0.06846470322482874
faceframe_second51_frame1551_0,0.7638390119406279,0.09055922624563546,0.07322669117526794,0.07237507063846865
faceframe_second51_frame1559_0,0.7510610723776462,0.09552089631754077,0.07719445223419935,0.07622357907061351
faceframe_second52_frame1567_0,0.761601678593606,0.09145862137129082,0.07390112763679652,0.07303857239830684
faceframe_second52_frame1567_1,0.027533365120619407,0.8910547543281657,0.024607646282425167,0.023185247807414433
