name,cluster,x,y,second,frame,disgust,anger,sadness,neutral,contempt,surprise,happy,fear
faceframe_second100_frame2505_0,0,9.336944,6.1898584,100,2505,0.21411584317684174,0.18806792795658112,0.13714218139648438,0.10625320672988892,0.10613032430410385,,,
faceframe_second100_frame2511_0,0,9.310909,6.2266626,100,2511,0.23337669670581818,0.18618182837963104,0.12472675740718842,0.10251016169786453,0.10309873521327972,,,
faceframe_second100_frame2518_0,0,9.294656,6.2555985,100,2518,0.21118338406085968,0.1767808496952057,0.1208968311548233,0.1051182672381401,0.1038939580321312,,,
faceframe_second101_frame2530_0,0,9.00437,6.458059,101,2530,0.1916726976633072,0.18015985190868378,0.14215078949928284,,0.10507337749004364,0.12097110599279404,,
faceframe_second101_frame2549_0,0,9.077711,6.5585437,101,2549,0.16878949105739594,0.19960366189479828,0.14361104369163513,0.10392436385154724,0.11801286786794662,,,
faceframe_second102_frame2555_0,0,9.213743,6.405251,102,2555,0.18592599034309387,0.22751373052597046,0.16285234689712524,0.09277679026126862,0.09622210264205933,,,
faceframe_second102_frame2561_0,1,7.414314,11.006702,102,2561,0.19075943529605865,0.1790427416563034,0.13548903167247772,0.11990001052618027,0.13438360393047333,,,
faceframe_second102_frame2568_0,0,10.306211,1.9863579,102,2568,0.23712068796157837,0.2583630681037903,0.14198946952819824,0.10304903984069824,0.07465258240699768,,,
faceframe_second102_frame2568_1,1,8.180848,11.496775,102,2568,0.3969520628452301,0.11080699414014816,0.07275314629077911,,0.08413811773061752,,0.15454649925231934,
faceframe_second142_frame3561_0,-1,12.251146,11.276014,142,3561,0.1577838659286499,0.14461863040924072,0.1414256989955902,,0.12641853094100952,0.12127380818128586,,
faceframe_second142_frame3561_1,1,7.4733644,10.685925,142,3561,0.12005247920751572,0.17056025564670563,0.12560036778450012,0.16514283418655396,,,0.1124417632818222,
faceframe_second142_frame3561_2,0,8.459898,7.307288,142,3561,0.18528220057487488,0.11605563759803772,0.11141427606344223,,0.1604660302400589,,0.13900814950466156,
faceframe_second142_frame3561_3,1,6.8278418,11.931447,142,3561,0.11340656876564026,0.3436926603317261,0.19660425186157227,0.08740092813968658,0.07559795677661896,,,
faceframe_second142_frame3561_4,-1,12.117687,4.48028,142,3561,0.21615344285964966,,0.11052127182483673,,0.11327245086431503,0.15671256184577942,0.13094660639762878,
faceframe_second142_frame3561_5,-1,6.5774174,7.2501874,142,3561,0.17155924439430237,0.1819099634885788,0.12295465171337128,,,0.10928956419229507,0.11427344381809235,
faceframe_second142_frame3568_0,1,6.818112,11.943596,142,3568,0.12038692086935043,0.40131711959838867,0.1456141471862793,0.08584851026535034,0.06943194568157196,,,
faceframe_second142_frame3568_1,0,8.611057,7.075155,142,3568,0.16491247713565826,0.15743792057037354,0.11682353168725967,0.11182694137096405,,,0.15711534023284912,
