name,cluster,x,y,frame,second,positive,neutral,negative
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second51_frame1293.jpg,7,-3.8449175,11.538095,1293,51,0.15636684000492096,0.19515326619148254,0.6484798789024353
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second51_frame1299.jpg,7,-3.8966324,11.487773,1299,51,0.14254389703273773,0.17508502304553986,0.6823711395263672
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second52_frame1305.jpg,7,-2.8455102,11.868245,1305,52,0.18251200020313263,0.22666551172733307,0.5908225178718567
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second52_frame1311.jpg,7,-0.8367651,10.339402,1311,52,0.1645510494709015,0.18328621983528137,0.6521627306938171
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second52_frame1318.jpg,7,-2.7478309,11.716287,1318,52,0.14126379787921906,0.21331030130386353,0.6454259157180786
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second52_frame1324.jpg,7,-2.8792543,11.935872,1324,52,0.14750321209430695,0.2157120704650879,0.6367846727371216
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second13_frame336.jpg,5,7.824207,1.580361,336,13,0.48259392380714417,0.27280524373054504,0.24460074305534363
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second13_frame343.jpg,5,7.8145614,1.5703624,343,13,0.23958569765090942,0.590871274471283,0.16954305768013
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second13_frame349.jpg,5,7.838399,1.5962576,349,13,0.2239910513162613,0.5339969396591187,0.24201199412345886
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second140_frame3505.jpg,4,15.189723,0.775252,3505,140,0.1107594445347786,0.8718870282173157,0.017353489995002747
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second140_frame3511.jpg,4,15.086836,0.7945543,3511,140,0.11581669747829437,0.8676177263259888,0.016565589234232903
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second140_frame3518.jpg,4,14.972795,0.82247454,3518,140,0.11607237905263901,0.8675782680511475,0.01634938083589077
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second140_frame3524.jpg,4,15.028427,0.7954747,3524,140,0.14578427374362946,0.8410583138465881,0.013157399371266365
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second141_frame3530.jpg,4,14.508958,1.2224085,3530,141,0.1595839262008667,0.8238986134529114,0.016517454758286476
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second141_frame3536.jpg,4,14.534785,1.2943134,3536,141,0.14050190150737762,0.8476274609565735,0.011870567686855793
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second141_frame3543.jpg,4,14.510489,1.2413559,3543,141,0.144404336810112,0.8453372716903687,0.010258367285132408
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second141_frame3549.jpg,4,14.462572,1.2646279,3549,141,0.12894128262996674,0.8586872220039368,0.01237150002270937
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second142_frame3555.jpg,4,15.351713,0.9608346,3555,142,0.1194768100976944,0.867300808429718,0.013222374022006989
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second142_frame3561.jpg,4,15.235968,0.8178195,3561,142,0.1331116259098053,0.8632994890213013,0.0035889139398932457
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/2023_FIDE_World_Championship_Match_FINAL_RECAP/frames/second142_frame3568.jpg,4,15.28583,0.830723,3568,142,0.48450222611427307,0.5109969973564148,0.004500746261328459
