name,cluster,x,y,second,frame,neutral,anger,sadness,disgust,contempt,happy,fear,surprise
faceframe_second0_frame14_0,2,20.188162,0.7061076,0,14,0.2992592751979828,0.18128849565982819,0.13877661526203156,0.1157463863492012,0.08885254710912704,,,
faceframe_second0_frame14_1,7,-5.182507,15.749001,0,14,0.09190817922353745,,,0.2175256609916687,0.08067979663610458,0.2966866195201874,0.1210336834192276,
faceframe_second0_frame14_2,1,-3.639903,-15.028178,0,14,0.3503085672855377,0.16710282862186432,0.14607155323028564,0.10108132660388947,0.0651925802230835,,,
faceframe_second0_frame21_0,7,-5.3041534,15.849638,0,21,0.10944390296936035,0.10956336557865143,,0.354735404253006,,0.11674588173627853,0.0898081585764885,
faceframe_second0_frame21_1,2,20.215666,0.67876095,0,21,0.2974456250667572,0.18267974257469177,0.13805340230464935,0.11575924605131149,0.08957505971193314,,,
faceframe_second0_frame21_2,1,-3.6399276,-15.02821,0,21,0.3503085672855377,0.16710282862186432,0.14607155323028564,0.10108132660388947,0.0651925802230835,,,
faceframe_second0_frame29_0,7,-5.2535114,15.816224,0,29,0.09262072294950485,0.0829075276851654,,0.1874823272228241,,0.34125158190727234,0.09268795698881149,
faceframe_second0_frame29_1,2,20.215744,0.67859995,0,29,0.2974456250667572,0.18267974257469177,0.13805340230464935,0.11575924605131149,0.08957505971193314,,,
faceframe_second0_frame29_2,1,-3.6399226,-15.028215,0,29,0.3503085672855377,0.16710282862186432,0.14607155323028564,0.10108132660388947,0.0651925802230835,,,
faceframe_second0_frame7_0,7,-5.3072033,15.831938,0,7,0.09910926967859268,0.0988672748208046,,0.3627169132232666,,0.1753954142332077,0.09123918414115906,
faceframe_second0_frame7_1,2,20.185104,0.7091937,0,7,0.2992592751979828,0.18128849565982819,0.13877661526203156,0.1157463863492012,0.08885254710912704,,,
faceframe_second0_frame7_2,1,-3.6399198,-15.028182,0,7,0.3503085672855377,0.16710282862186432,0.14607155323028564,0.10108132660388947,0.0651925802230835,,,
faceframe_second100_frame3007_0,5,8.739776,11.37724,100,3007,0.13053284585475922,0.15259142220020294,0.10958749800920486,0.19422438740730286,,,,0.12947985529899597
faceframe_second100_frame3014_0,5,8.75647,10.935365,100,3014,0.13197632133960724,0.15305180847644806,0.10848670452833176,0.19615426659584045,,,,0.12803179025650024
faceframe_second100_frame3021_0,5,7.6499314,10.4667015,100,3021,0.1323740929365158,0.1619201898574829,,0.21255551278591156,,0.10797502100467682,,0.10924407094717026
faceframe_second100_frame3029_0,9,4.24033,-3.747779,100,3029,0.10768107324838638,0.2017280012369156,0.16110263764858246,0.17838621139526367,,,,0.1075529232621193
faceframe_second100_frame3029_1,5,7.7528358,10.551632,100,3029,0.13749852776527405,0.16316983103752136,,0.2001650035381317,,0.10777954012155533,,0.10862024873495102
faceframe_second101_frame3037_0,9,5.163978,-1.2512479,101,3037,0.09352495521306992,0.292664498090744,0.12227842211723328,0.23977665603160858,0.07890729606151581,,,
faceframe_second101_frame3037_1,5,7.812123,10.554401,101,3037,0.13767991960048676,0.1623409539461136,,0.19846682250499725,,0.10980228334665298,,0.1089690700173378
faceframe_second101_frame3044_0,9,5.4162755,-1.3569391,101,3044,0.10954326391220093,0.2920156419277191,0.10298312455415726,0.2431623637676239,0.07650058716535568,,,
faceframe_second101_frame3044_1,5,8.669474,10.955293,101,3044,0.1293005496263504,0.15299855172634125,0.10982707887887955,0.18472717702388763,,,,0.12852491438388824
faceframe_second101_frame3051_0,9,5.4303102,-1.5330479,101,3051,0.11974643915891647,0.2979206442832947,0.12489714473485947,0.19167137145996094,0.07956962287425995,,,
faceframe_second101_frame3051_1,5,8.74032,10.821188,101,3051,0.1310536414384842,0.15596777200698853,0.11398660391569138,0.18696390092372894,,,,0.12376581132411957
faceframe_second101_frame3059_0,9,8.257977,-3.3924265,101,3059,0.12882186472415924,0.21771076321601868,0.12850415706634521,0.16650187969207764,,0.09977308660745621,,
faceframe_second101_frame3059_1,5,8.811004,10.987122,101,3059,0.1312902718782425,0.16475580632686615,0.11698076128959656,0.1971902847290039,,,,0.11716500669717789
faceframe_second102_frame3067_0,9,5.9441895,-3.9435177,102,3067,0.1205180361866951,0.2100309282541275,0.09783803671598434,0.2400558888912201,,0.10088351368904114,,
faceframe_second102_frame3067_1,5,10.367189,11.79823,102,3067,,0.13536973297595978,0.12936288118362427,0.1244926005601883,0.12570084631443024,,0.14805713295936584,
faceframe_second102_frame3067_2,5,8.459322,10.273558,102,3067,0.13098852336406708,0.17152705788612366,0.10469003021717072,0.22833776473999023,,,,0.1193612739443779
faceframe_second102_frame3074_0,5,8.632018,10.47974,102,3074,0.11925552040338516,0.1605229675769806,0.09968931972980499,0.2575705349445343,,,,0.11685039103031158
faceframe_second102_frame3074_1,9,6.267467,-3.8139853,102,3074,0.13777108490467072,0.23508764803409576,0.10305076092481613,0.18911750614643097,,0.09636900573968887,,
faceframe_second102_frame3081_0,9,6.0154743,-4.0465565,102,3081,0.14372116327285767,0.17357444763183594,,0.1884763240814209,,0.12135622650384903,,0.10552369058132172
faceframe_second102_frame3081_1,5,8.576035,10.388497,102,3081,0.1284875124692917,0.17219632863998413,0.10526905208826065,0.21668840944766998,,,,0.12346557527780533
faceframe_second4_frame134_0,7,-4.711698,15.4717045,4,134,0.0773022249341011,,,0.18190796673297882,,0.33139240741729736,0.11105068027973175,0.09903769940137863
faceframe_second4_frame134_1,2,21.286211,4.8397293,4,134,0.18524159491062164,0.22615903615951538,0.2089667022228241,0.09743397682905197,0.10935874283313751,,,
