,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
faceframe_second0_frame14_0,0.026632814949384492,0.02777275030942459,0.15224890452116469,0.08243120619549336,0.03294964620012848,0.0543479450865575,0.027149553962223304,0.03449560516442095,0.04925662456565265,0.04770636254079922,0.03028192597031709,0.02967716932330903,0.03340477544952331,0.033124033987882204,0.0325189960846985,0.03235461693238945,0.038642283259599716
faceframe_second0_frame14_1,2.70794841952688e-309,3.32514168732651e-309,2.899961769447986e-309,3.499265123113104e-309,3.810873224045625e-309,5.07755878411572e-309,4.38040620795647e-309,1.0,3.62034908723863e-309,3.373796904978945e-309,2.987633661110845e-309,4.06360127222764e-309,5.27126162085361e-309,4.115852408411377e-309,4.65354111259254e-309,3.890003605681477e-309,3.74023893343143e-309
faceframe_second0_frame14_2,7.35231481320432e-309,1.0,2.940739991686947e-309,3.12497754842283e-309,2.54392176462274e-309,3.88491739667003e-309,3.07894019614741e-309,4.09267127215224e-309,4.140382593499265e-309,4.91832686322783e-309,2.594939582340363e-309,3.74539902430532e-309,3.85129050162758e-309,3.61386360815948e-309,3.71065841564251e-309,2.93268060619193e-309,3.34765718618587e-309
faceframe_second0_frame21_0,0.0023998351402699943,0.002948459588079636,0.0025711053897437505,0.0031095972304581343,0.0033725452694217325,0.00449540609336794,0.003874138723644241,0.945436128799441,0.0032170903640025067,0.0029996381448665686,0.0026540564160941306,0.003610352875826767,0.004701977797116348,0.003662854226134801,0.004145866958613697,0.003469672914131749,0.003331274068787164
faceframe_second0_frame21_1,0.026667378114613637,0.02781504981408729,0.15273640084561904,0.0826887831680903,0.03297258986846007,0.05441774242412327,0.027174705714041993,0.034543941867347355,0.04935616231423476,0.047814283634385106,0.030313183988976065,0.029715701970279628,0.03345516462240035,0.033170330231475184,0.03256444974827814,0.03240272580181706,0.03871657548012536
faceframe_second0_frame21_2,7.355480206158816e-309,1.0,2.9404856038293e-309,3.12439467910364e-309,2.54376292877047e-309,3.884685669333596e-309,3.078851423685557e-309,4.091702106015216e-309,4.13969945354541e-309,4.91700846467899e-309,2.5944773567521e-309,3.744756992481924e-309,3.85031114372966e-309,3.613175528861627e-309,3.7098231352139e-309,2.931810285769406e-309,3.346678932738165e-309
faceframe_second0_frame29_0,2.710508848383495e-309,3.329537250989256e-309,2.902513605837217e-309,3.501259032404703e-309,3.806922694753483e-309,5.0886417780791e-309,4.382556435482573e-309,1.0,3.627629383996536e-309,3.381080761578563e-309,2.99360431285365e-309,4.076521514974014e-309,5.285574206320855e-309,4.125245173864593e-309,4.665453999138614e-309,3.893843372292736e-309,3.741563452454824e-309
faceframe_second0_frame29_1,0.026641236228943647,0.027783082878992307,0.1523605330402568,0.08249882959549149,0.032953862826554235,0.05436221336988281,0.027154762803980208,0.0345064524664461,0.049281354241256084,0.04773397622828905,0.030288507174372176,0.029685862195974147,0.03341668191399769,0.03313487272252199,0.03252961641944276,0.03236615848352657,0.038661154424064405
faceframe_second0_frame29_2,7.352663640127343e-309,1.0,2.94072314953706e-309,3.124928537550253e-309,2.54391115459885e-309,3.884910811030506e-309,3.078939306419975e-309,4.09258409235777e-309,4.140336627274883e-309,4.91822337271515e-309,2.594899743135714e-309,3.745349350338716e-309,3.85120752505803e-309,3.61380998152282e-309,3.71058958847678e-309,2.932598897629347e-309,3.34756694477982e-309
faceframe_second0_frame7_0,0.0021796474797318543,0.0026779386046037906,0.0023344834101908843,0.0028228406108245676,0.003062530788173067,0.004082455316725745,0.0035192041077197066,0.950456170415022,0.0029209941651156457,0.002723492320242929,0.0024098141123017327,0.0032786844708060326,0.004268674107276684,0.003325716285874987,0.003764120618424501,0.003149387995423454,0.0030238451915422355
