,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/The_moment_Ding_Liren_became_World_Chess_Champion/frames/second0_frame14.jpg,0.012731871652795287,0.011762680473523461,0.013556130446306656,0.014308240208726262,0.014284697540865084,0.061219995236588186,0.02198203247096159,0.01833675589410374,0.013600878255041183,0.013753762050507809,0.013749288537728086,0.011017196718074919,0.01210804200477552,0.012824574994923212,0.01083464989379505,0.012114965492354723,0.059929770176795814,0.01524298790205401,0.012091713474117884,0.029795299895637766,0.023142635327437093,0.02686382114431617,0.0313756578796639
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/The_moment_Ding_Liren_became_World_Chess_Champion/frames/second0_frame21.jpg,0.012215278131525885,0.011276319141915644,0.012948063688202612,0.013678007589720084,0.01364851700900338,0.05729217581011102,0.02115617116948856,0.017571108079257033,0.013047776178892153,0.013184145250069161,0.01320511433481571,0.010564215979952172,0.011622842265752444,0.012311425857751312,0.01039327853927632,0.011627046104713549,0.058301831894800905,0.014622636168644664,0.011598634929451417,0.02874828480427354,0.022288323150808968,0.02591182583938822,0.03029119791863983
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/The_moment_Ding_Liren_became_World_Chess_Champion/frames/second0_frame29.jpg,0.01200068310401733,0.011061391083793596,0.012688726172600405,0.01340557058052045,0.013375490701242557,0.05562163375250721,0.020771530545284314,0.017247605122228504,0.012808662099864757,0.01294025638975477,0.012972236316174626,0.01037105599504591,0.011414776760028092,0.012091495922402253,0.01020309093669669,0.011417672797275362,0.05743917789422854,0.014357955027265232,0.01138956597609911,0.02825032417365199,0.021884340597965336,0.025460802585994043,0.029777056338799426
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/The_moment_Ding_Liren_became_World_Chess_Champion/frames/second0_frame7.jpg,0.012660887328848389,0.011707601485948268,0.013478360354382284,0.014227918067248348,0.014203240008614884,0.06074965899567154,0.021905218617290004,0.018245222723177117,0.013532450666727308,0.01368689594163544,0.013681270856621358,0.010962113428796855,0.012048498216435862,0.012760730887930564,0.01078101977737148,0.012054600864876551,0.0598182489802804,0.015168700179788669,0.012031083717780248,0.029703507414600823,0.02306223037841496,0.026773853987027092,0.03126626834158302
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/The_moment_Ding_Liren_became_World_Chess_Champion/frames/second100_frame3007.jpg,0.003013637171924375,0.0030773001917980157,0.0047300592182460835,0.0046276424878022235,0.00486055911766456,0.9055153089047683,0.00498305613779441,0.0052056823915828145,0.003665127145169652,0.004008057087493729,0.003478924749087367,0.003032525134845984,0.0031275427055615077,0.0033052898572704667,0.0029125326130692735,0.0031514433137356597,0.007950639745887566,0.004246675573310253,0.003344975734193349,0.006011807163667097,0.00481318251833655,0.005262325082986359,0.00567570595380443
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/The_moment_Ding_Liren_became_World_Chess_Champion/frames/second100_frame3014.jpg,0.002439515708623253,0.0024885791680202478,0.0038380147581190695,0.003751180345265811,0.003940321532298165,0.9236266482595147,0.004031666869975315,0.004200721178024008,0.002958605833160048,0.003243209705200419,0.002808273879463997,0.0024511736899691817,0.002525254950976197,0.0026683067427033785,0.002352698629633973,0.0025444884848061203,0.00640928797254237,0.003427599863765332,0.0027050390598692135,0.004858040333492339,0.0038913330661120463,0.004254033940517784,0.004586006027947161
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/The_moment_Ding_Liren_became_World_Chess_Champion/frames/second100_frame3021.jpg,6.02260893217146e-309,6.146976484328027e-309,9.483575591445133e-309,9.27126147630584e-309,9.74061441824546e-309,1.0,9.91026879615373e-309,1.035229093580029e-308,7.30294972974754e-309,7.97501683050988e-309,6.92664161875066e-309,6.04287849599417e-309,6.23028247399017e-309,6.58393014256593e-309,5.805348616912993e-309,6.27972232342441e-309,1.580974517624004e-308,8.44209231415815e-309,6.659758437305056e-309,1.194415440444692e-308,9.58987019781259e-309,1.0477142402997376e-308,1.1306901929620857e-308
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/The_moment_Ding_Liren_became_World_Chess_Champion/frames/second100_frame3029.jpg,6.02686181375896e-309,6.13235593972812e-309,9.472522679671235e-309,9.25424493902931e-309,9.722538159041317e-309,1.0,9.893131607524634e-309,1.033099321283838e-308,7.282363258708224e-309,7.964357187943464e-309,6.912265218325245e-309,6.032701210768503e-309,6.216728875341833e-309,6.569268588417734e-309,5.791657237031375e-309,6.26551610596299e-309,1.579404454174444e-308,8.421742927224446e-309,6.64969561117691e-309,1.1924218791312846e-308,9.571056636109583e-309,1.046199137760025e-308,1.129455339241555e-308
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/The_moment_Ding_Liren_became_World_Chess_Champion/frames/second101_frame3037.jpg,6.023159056718925e-309,6.15368479427128e-309,9.55629967744735e-309,9.363397371579063e-309,9.832882949093016e-309,1.0,9.83123117235639e-309,1.023989171978829e-308,7.29594775225103e-309,7.892335241892226e-309,6.899517808036657e-309,6.01033279897151e-309,6.20777357092092e-309,6.5639178710709e-309,5.791019531305964e-309,6.263706055250203e-309,1.572239943399137e-308,8.364152959672667e-309,6.60727368248978e-309,1.1835681638832204e-308,9.566028047262695e-309,1.043243612347702e-308,1.1280574102126155e-308
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/The_moment_Ding_Liren_became_World_Chess_Champion/frames/second101_frame3044.jpg,6.025276297423293e-309,6.14991505544661e-309,9.57190695025045e-309,9.3899231240103e-309,9.855856469050563e-309,1.0,9.80294733254978e-309,1.018590055673657e-308,7.286108671107675e-309,7.85614138634667e-309,6.885004924857955e-309,5.992937377648754e-309,6.19423996955369e-309,6.55130887905e-309,5.77999208750667e-309,6.25234493388258e-309,1.5703306644308006e-308,8.32660362764625e-309,6.58276304622265e-309,1.179951777929916e-308,9.5574057823368e-309,1.0419508111403496e-308,1.1277031264114207e-308
