second,cluster,size
2,1,4
3,1,2
4,1,4
5,1,5
6,1,4
7,1,4
8,1,4
9,1,4
10,1,4
11,1,4
12,-1,3
12,1,4
13,-1,4
13,1,4
14,-1,4
14,1,4
15,-1,4
15,1,4
16,-1,1
16,1,5
17,1,4
32,1,2
33,1,5
38,1,6
39,1,4
41,0,4
42,0,4
43,0,4
44,0,4
45,0,4
46,0,4
47,1,2
48,0,1
49,0,4
50,0,2
55,1,1
56,1,4
57,1,1
60,1,3
61,1,1
77,1,1
78,1,4
79,1,4
80,1,4
81,1,2
82,1,3
83,1,2
92,1,4
93,1,4
94,1,4
95,1,4
96,1,4
97,1,4
98,1,4
