,0,1
faceframe_second10_frame307_0,0.0678480155391061,0.5821051467572722
faceframe_second10_frame314_0,0.06795921001523936,0.5761156752508627
faceframe_second10_frame321_0,0.06812950700143276,0.5700919349960842
faceframe_second10_frame329_0,0.06880880537659821,0.5482712096076799
faceframe_second11_frame337_0,0.06839659728755013,0.5501314960129186
faceframe_second11_frame344_0,0.0692771278832349,0.5249608965112013
faceframe_second11_frame351_0,0.06972040674009898,0.5127658999147033
faceframe_second11_frame359_0,0.0698552908489228,0.5142489001765016
faceframe_second12_frame367_0,0.06981135214200611,0.5157262147885844
faceframe_second12_frame374_0,4.772128054818e-310,1.0
faceframe_second12_frame374_1,0.03675192203250588,0.054130734632303903
faceframe_second12_frame381_0,0.03687756385255624,0.05438699420685609
faceframe_second12_frame381_1,4.7814384744515e-310,1.0
faceframe_second12_frame389_0,4.81371322216277e-310,1.0
faceframe_second12_frame389_1,0.037014987854803935,0.05451484756526903
faceframe_second4_frame134_0,0.08060804781571147,0.2938646873598439
faceframe_second4_frame141_0,0.0813843842557908,0.28923167576266234
faceframe_second4_frame149_0,0.0814957505863755,0.27798022747284645
faceframe_second50_frame1507_0,1.0,4.73258714125527e-310
faceframe_second50_frame1514_0,1.0,4.7330149738899e-310
faceframe_second13_frame404_0,4.73319555507003e-310,1.0
faceframe_second13_frame404_1,0.036914895244460406,0.05483635626192997
faceframe_second13_frame411_0,4.7230803733085e-310,1.0
faceframe_second13_frame411_1,0.03716092613199245,0.05504355269275079
faceframe_second13_frame419_0,4.7544451597592e-310,1.0
faceframe_second13_frame419_1,0.03690291585419998,0.05445734429252008
faceframe_second14_frame427_0,4.7153758131377e-310,1.0
faceframe_second14_frame427_1,0.03691384881593449,0.05485836981063619
faceframe_second14_frame434_0,4.6982386828339e-310,1.0
faceframe_second14_frame434_1,0.037016056576417496,0.054428308009866755
faceframe_second14_frame441_0,4.73912990390277e-310,1.0
faceframe_second14_frame441_1,0.03684879878539339,0.054446784369469106
faceframe_second14_frame449_0,4.74496255185007e-310,1.0
faceframe_second14_frame449_1,0.03673708497264004,0.05468630034114892
faceframe_second15_frame457_0,4.78326407165464e-310,1.0
faceframe_second15_frame457_1,0.03663173466591379,0.05478930313273118
faceframe_second15_frame464_0,4.7503860394649e-310,1.0
faceframe_second15_frame464_1,0.03667552502375857,0.054610835748786314
faceframe_second15_frame471_0,4.77228582337577e-310,1.0
faceframe_second15_frame471_1,0.03685175666658285,0.055014744485149064
faceframe_second15_frame479_0,4.7480919400059e-310,1.0
faceframe_second15_frame479_1,0.036804916806926484,0.05496562227703597
faceframe_second16_frame487_0,4.7647292164301e-310,1.0
faceframe_second16_frame487_1,0.0367170087719906,0.0546809051706904
