name,cluster,x,y,second,frame,disgust,anger,neutral,sadness,surprise,contempt,happy,fear
faceframe_second10_frame307_0,1,7.5696816,7.081181,10,307,0.26517021656036377,0.20406660437583923,0.1284370869398117,0.10866033285856247,0.08217573910951614,,,
faceframe_second10_frame314_0,1,7.516425,6.9679065,10,314,0.22220169007778168,0.19433657824993134,0.12099064886569977,0.1235797107219696,0.0999373197555542,,,
faceframe_second10_frame321_0,1,7.445581,6.891082,10,321,0.2351011037826538,0.2448142170906067,0.11805110424757004,0.11947827786207199,0.08033313602209091,,,
faceframe_second10_frame329_0,1,7.3839808,6.7139683,10,329,0.2864883542060852,0.19930048286914825,0.11568792909383774,,,0.0904279425740242,0.08822116255760193,
faceframe_second11_frame337_0,1,7.7252755,6.848564,11,337,0.2166130244731903,0.21839921176433563,0.12719644606113434,,,0.09395492821931839,0.09347185492515564,
faceframe_second11_frame344_0,1,7.259159,6.7339387,11,344,0.20867197215557098,0.22637663781642914,0.1341848373413086,0.1001957431435585,,0.09312848001718521,,
faceframe_second11_frame351_0,1,7.408766,6.615864,11,351,0.24681343138217926,0.22607684135437012,0.12840519845485687,0.0921165719628334,,0.0975906178355217,,
faceframe_second11_frame359_0,1,7.3776093,6.6624236,11,359,0.19800356030464172,0.23477324843406677,0.1331610530614853,0.10782022029161453,,0.09710994362831116,,
faceframe_second12_frame367_0,1,7.5441084,6.559559,12,367,0.18598534166812897,0.23031999170780182,0.13954336941242218,0.10348586738109589,,0.09788814187049866,,
faceframe_second12_frame374_0,1,7.026108,9.739022,12,374,0.18499155342578888,0.23304195702075958,0.1369962990283966,0.10080292820930481,,,0.09554144740104675,
faceframe_second12_frame374_1,-1,21.699863,-7.213859,12,374,0.2387199103832245,0.1549263894557953,0.12348973006010056,,0.10874301195144653,0.10070543736219406,,
faceframe_second12_frame381_0,-1,21.708277,-7.2239614,12,381,0.20587852597236633,0.15944087505340576,0.12788689136505127,,0.11488296091556549,0.10491574555635452,,
faceframe_second12_frame381_1,1,7.199891,9.634598,12,381,0.19385632872581482,0.2694001793861389,0.13338926434516907,0.11092860996723175,,0.08340486884117126,,
faceframe_second12_frame389_0,1,7.208255,9.712941,12,389,0.21608400344848633,0.24856670200824738,0.12275286763906479,0.11268702894449234,,0.08016910403966904,,
faceframe_second12_frame389_1,-1,21.679232,-7.279323,12,389,0.1920110136270523,0.1770906299352646,0.13301028311252594,0.11027088016271591,0.11265062540769577,,,
faceframe_second4_frame134_0,1,9.986768,7.1592402,4,134,0.38754189014434814,0.13155142962932587,0.08274368196725845,0.09035095572471619,,0.11869698017835617,,
faceframe_second4_frame141_0,1,10.093029,7.014699,4,141,0.2703841030597687,0.1862199306488037,0.11537154018878937,0.11039075255393982,,0.1109263077378273,,
faceframe_second4_frame149_0,1,10.068852,7.009207,4,149,0.2600933909416199,0.22153340280056,0.11179924011230469,0.12366741895675659,,0.10768372565507889,,
faceframe_second50_frame1507_0,0,1.9257637,18.115047,50,1507,0.3287596106529236,0.17286069691181183,0.12010761350393295,0.09186466038227081,0.07922464609146118,,,
faceframe_second50_frame1514_0,0,1.8893481,18.059093,50,1514,0.33513307571411133,0.17571736872196198,0.10790025442838669,0.09818672388792038,,,,0.07535552233457565
faceframe_second13_frame404_0,1,6.8326955,9.938416,13,404,0.20230311155319214,0.248310849070549,0.1266169548034668,0.14106985926628113,,0.07789384573698044,,
faceframe_second13_frame404_1,-1,21.944696,-6.96132,13,404,0.20381008088588715,0.1698967069387436,0.13425679504871368,0.11425544321537018,0.10435859858989716,,,
faceframe_second13_frame411_0,1,6.939429,10.24298,13,411,0.19817335903644562,0.2730847895145416,0.12585246562957764,0.13435643911361694,,0.08560417592525482,,
faceframe_second13_frame411_1,-1,22.01168,-7.169648,13,411,0.21176756918430328,0.1754642128944397,0.12947657704353333,0.11789032071828842,0.10798317939043045,,,
faceframe_second13_frame419_0,1,7.0273266,10.108148,13,419,0.18054255843162537,0.2660316824913025,0.13422073423862457,0.1328762024641037,,0.08624912798404694,,
faceframe_second13_frame419_1,-1,21.782484,-7.266306,13,419,0.22174932062625885,0.166636124253273,0.12638723850250244,0.11366148293018341,0.11113616079092026,,,
faceframe_second14_frame427_0,1,7.137235,10.132024,14,427,0.19722580909729004,0.2784368395805359,0.12426254153251648,0.12857970595359802,,0.07687734812498093,,
faceframe_second14_frame427_1,-1,22.020468,-7.0330834,14,427,0.24832698702812195,0.16693507134914398,0.12395071238279343,0.10818544030189514,0.10822909325361252,,,
faceframe_second14_frame434_0,1,7.101622,10.090828,14,434,0.1881304532289505,0.26052698493003845,0.13492394983768463,0.13610026240348816,,0.08085843920707703,,
faceframe_second14_frame434_1,-1,21.854614,-7.2563167,14,434,0.24009345471858978,0.16709095239639282,0.12934835255146027,0.10951591283082962,0.10952158272266388,,,
faceframe_second14_frame441_0,1,6.943484,9.828821,14,441,0.21082110702991486,0.2542926073074341,0.1387675404548645,0.12163729965686798,,0.07953152805566788,,
faceframe_second14_frame441_1,-1,21.915298,-7.2866383,14,441,0.23552042245864868,0.1623142957687378,0.12638531625270844,0.10862300544977188,0.10884341597557068,,,
faceframe_second14_frame449_0,1,7.0562534,9.361799,14,449,0.2215261161327362,0.2537420988082886,0.12616372108459473,0.11105110496282578,,0.07854557037353516,,
faceframe_second14_frame449_1,-1,21.811064,-6.848351,14,449,0.18104340136051178,0.17950904369354248,0.1312691867351532,0.11201798915863037,0.11177484691143036,,,
faceframe_second15_frame457_0,1,6.8626184,9.22032,15,457,0.2040185183286667,0.26019033789634705,0.13047777116298676,0.10787693411111832,,0.08105327934026718,,
faceframe_second15_frame457_1,-1,21.751343,-6.6923237,15,457,0.1887333244085312,0.187043234705925,0.12571103870868683,0.11481822282075882,0.10944344848394394,,,
faceframe_second15_frame464_0,1,6.9461107,9.298423,15,464,0.1938960701227188,0.24679838120937347,0.1357506364583969,0.12156718969345093,,0.09126825630664825,,
faceframe_second15_frame464_1,-1,21.858816,-6.6595793,15,464,0.2320895940065384,0.18425004184246063,0.11328153312206268,0.11051254719495773,0.10697387158870697,,,
faceframe_second15_frame471_0,1,6.8247676,9.096125,15,471,0.1769329458475113,0.30072739720344543,0.13667957484722137,0.11689842492341995,,0.0791139006614685,,
faceframe_second15_frame471_1,-1,21.853706,-6.571056,15,471,0.1945173293352127,0.17696064710617065,0.12358269095420837,0.11313266307115555,0.11622102558612823,,,
faceframe_second15_frame479_0,1,6.828958,9.1657095,15,479,0.1927889585494995,0.26645147800445557,0.132174551486969,0.11328785866498947,,0.088106170296669,,
faceframe_second15_frame479_1,-1,21.772528,-6.719486,15,479,0.21790751814842224,0.164449080824852,0.12147637456655502,0.11989165842533112,0.11569814383983612,,,
faceframe_second16_frame487_0,1,6.9014735,9.162933,16,487,0.2107059210538864,0.24256208539009094,0.11713195592164993,0.1067972406744957,,0.09080475568771362,,
faceframe_second16_frame487_1,-1,21.899246,-6.586452,16,487,0.21327540278434753,0.15536867082118988,0.1257336437702179,0.11498872935771942,0.11885266751050949,,,
