,0,1,2,3,4,5
faceframe_second0_frame14_0,0.018892408178003153,0.02746536053262242,0.26895588785628466,0.03572452936374855,0.028442513632083777,0.028039034270415084
faceframe_second0_frame14_1,0.0415129250621049,0.03653634186036223,0.03400236877975005,0.03280601408383961,0.33493334647990924,0.04491221502679008
faceframe_second0_frame14_2,0.011698243957166198,0.018642999405536275,0.012422530635713403,0.011890942328845482,0.02754910787956886,0.019475000493110427
faceframe_second0_frame14_3,0.021096122141892375,0.03065805914902194,0.04175641465504717,0.1800973806431373,0.026550664962607717,0.021873122507839984
faceframe_second0_frame14_4,0.05935991211704363,0.08838767656998929,0.1288860073894268,0.10367021409848007,0.0761269412820118,0.089739355578136
faceframe_second0_frame14_5,0.0030082221853531205,0.0035558843478710653,0.004778288513548845,0.0037863301098398816,0.0054784687888069505,0.9764555752966906
faceframe_second0_frame21_0,0.04244978214546291,0.03713563429742006,0.034343520572844996,0.0332606499075303,0.34475558273566537,0.045287308864005976
faceframe_second0_frame21_1,0.019021502554254017,0.02762050766913405,0.27718952423270654,0.035930529111200656,0.0286456542988043,0.028129310570623355
faceframe_second0_frame21_2,0.011756659125433404,0.018707879384704734,0.012484737755574188,0.011946503742204108,0.027739885521711295,0.019507369766469506
faceframe_second0_frame21_3,0.021090405331605798,0.03067592611822505,0.041715332833731925,0.1798045797377759,0.02652874645246685,0.021875438091669464
faceframe_second0_frame21_4,0.05958011322521303,0.08845080746456577,0.1297431246321898,0.10469156979714686,0.0763448057937837,0.09006329677795169
faceframe_second0_frame21_5,0.0028707833466550194,0.0033938321352840017,0.004561856172103774,0.003614017312244724,0.005231241464300239,0.9781044051681531
faceframe_second0_frame29_0,0.04269411425341543,0.03759162305165933,0.03468170166795144,0.033469804800938426,0.37243853276543687,0.045874242840758805
faceframe_second0_frame29_1,0.011757771752506092,0.018705955583680926,0.01248616546253965,0.011947420054792827,0.02774175803730717,0.019508217169276067
faceframe_second0_frame29_2,0.01903717589747738,0.027643392277248966,0.27545978262035914,0.03596411648491348,0.02866720047003183,0.028100727520217906
faceframe_second0_frame29_3,0.021533808813929866,0.03141298646711459,0.041973945886138064,0.1963273471874625,0.02706880745215232,0.022248990442035998
faceframe_second0_frame29_4,0.05951978199381645,0.08843573826980194,0.12950828317433932,0.10440717093341878,0.07628581958473862,0.08997520573855909
faceframe_second0_frame29_5,1.17360041409387e-309,1.38687764922786e-309,1.87136869459387e-309,1.478015197611907e-309,2.143075360612316e-309,1.0
faceframe_second0_frame7_0,0.011700301924463525,0.018646587001207325,0.012424827885415863,0.011893080944672276,0.027555932658982228,0.019475064447216757
faceframe_second0_frame7_1,0.04061854404464312,0.03560112117636359,0.03328423943936684,0.03225678241171779,0.2959927816007353,0.04359675526267821
faceframe_second0_frame7_2,0.018963832373790044,0.027552428029233068,0.27211360055099837,0.035838220512822906,0.0285590570889757,0.028078292464263764
faceframe_second0_frame7_3,0.05943892328408604,0.08841219572682128,0.1291937065115107,0.10403530183262616,0.07620608083646668,0.08985807967954511
faceframe_second0_frame7_4,1.168544089391055e-309,1.373380438122606e-309,1.84779049225537e-309,1.46332411798515e-309,2.12679154325598e-309,1.0
faceframe_second0_frame7_5,0.021145899643601973,0.030756159050129787,0.04176177375107144,0.18176530062617924,0.02660034344301059,0.021919840867249844
faceframe_second10_frame307_0,0.014674574854254833,0.02069884744673021,0.6201836410079523,0.02640366468890345,0.022137912317399724,0.02075307861603497
faceframe_second10_frame307_1,0.012607527865946159,0.012306252022653364,0.010723733120350827,0.009532663914196418,0.7706093706744661,0.014972386529358991
faceframe_second10_frame307_2,1.10240817761324e-309,1.0,1.35399037637469e-309,1.47810846007572e-309,1.671206224494026e-309,1.08489749457304e-309
faceframe_second10_frame307_3,0.001946301753992866,0.002724346492164455,0.0029274935316353718,0.9759055423203162,0.0023861855084935765,0.0018854357184618362
faceframe_second10_frame307_4,0.05753818739041575,0.045059358981293055,0.04566050952479673,0.03990091613592942,0.05795654963700844,0.05395294621224713
faceframe_second10_frame307_5,0.009686720243917944,0.01076259528006707,0.011474932266437315,0.009229836709223019,0.02083325015094519,0.931505268141652
faceframe_second10_frame314_0,0.015128966532774308,0.021342820498365115,0.6041745419583541,0.027282078994564526,0.02283245293598223,0.021456328538092796
faceframe_second10_frame314_1,1.738128233278667e-309,1.701741448988845e-309,1.493475720357357e-309,1.33563816687461e-309,1.0,2.079638009799823e-309
faceframe_second10_frame314_2,1.10182044851514e-309,1.0,1.353056631235396e-309,1.476127778977694e-309,1.66898984515012e-309,1.084031344354594e-309
