name,cluster,x,y,second,frame,anger,neutral,disgust,happy,sadness,fear,surprise,contempt
faceframe_second0_frame14_0,2,14.017023,-2.1460397,0,14,0.23152408003807068,0.15943917632102966,0.14748036861419678,0.11475247889757156,0.10048969089984894,,,
faceframe_second0_frame14_1,4,-5.0634007,10.571911,0,14,0.21197669208049774,0.1624690145254135,0.15259841084480286,0.11783164739608765,0.10877266526222229,,,
faceframe_second0_frame14_2,4,6.3194785,19.468847,0,14,0.15403524041175842,0.15131443738937378,0.232078418135643,0.1657654047012329,,0.09818926453590393,,
faceframe_second0_frame14_3,3,10.352995,7.190006,0,14,0.16422031819820404,0.13709375262260437,0.15735317766666412,,0.14928492903709412,0.09943120926618576,,
faceframe_second0_frame14_4,-1,0.03781975,27.236166,0,14,0.1679593026638031,0.1195884570479393,0.129293292760849,,0.24632303416728973,0.14408248662948608,,
faceframe_second0_frame14_5,5,-11.826437,-14.9145,0,14,0.0975518450140953,0.2878785729408264,0.13460715115070343,,0.1810620129108429,,0.1041865348815918,
faceframe_second0_frame21_0,4,-5.0195775,10.540495,0,21,0.1641135960817337,0.1685931533575058,0.1754416525363922,0.13113859295845032,0.09925864636898041,,,
faceframe_second0_frame21_1,2,14.01226,-2.2003458,0,21,0.2258988469839096,0.15610066056251526,0.14500167965888977,0.10969892889261246,0.10824939608573914,,,
faceframe_second0_frame21_2,4,6.5208488,19.670164,0,21,0.16595695912837982,0.1310853809118271,0.26204442977905273,0.15966521203517914,,,0.07634200155735016,
faceframe_second0_frame21_3,3,10.331368,7.169166,0,21,0.17044353485107422,0.13145817816257477,0.1465291529893875,,0.16437466442584991,0.09834283590316772,,
faceframe_second0_frame21_4,-1,-0.010336527,27.284313,0,21,0.1679593026638031,0.1195884570479393,0.129293292760849,,0.24632303416728973,0.14408248662948608,,
faceframe_second0_frame21_5,5,-11.8652115,-14.84504,0,21,0.0975518450140953,0.2878785729408264,0.13460715115070343,,0.1810620129108429,,0.1041865348815918,
faceframe_second0_frame29_0,4,-4.8614397,10.631177,0,29,0.18350261449813843,0.15810292959213257,0.15441632270812988,0.1197374165058136,0.11474975943565369,,,
faceframe_second0_frame29_1,4,6.399373,19.548286,0,29,0.15106311440467834,0.11776510626077652,0.25225624442100525,0.20087695121765137,,0.075717031955719,,
