name,cluster,x,y,second,frame,disgust,anger,neutral,sadness,surprise,contempt,happy,fear
faceframe_second154_frame4472_0,2,-2.1821094,-9.1636305,154,4472,0.26804953813552856,0.1522705852985382,0.13089938461780548,0.11022599041461945,0.10133828222751617,,,
faceframe_second154_frame4472_1,0,21.689795,3.7295785,154,4472,0.2164483219385147,0.14194083213806152,,0.09751225262880325,,0.14105184376239777,0.1322094351053238,
faceframe_second154_frame4472_2,3,4.5340824,3.8191102,154,4472,0.19338548183441162,0.15584182739257812,0.13430483639240265,,0.13157084584236145,0.14041051268577576,,
faceframe_second0_frame13_0,6,-2.4708207,11.532224,0,13,0.14837566018104553,0.12473027408123016,,,,0.12171939760446548,0.13048654794692993,0.1250939667224884
faceframe_second0_frame21_0,6,6.047883,17.825645,0,21,0.09452109783887863,0.18622009456157684,0.10174703598022461,0.30434608459472656,,0.1268155872821808,,
faceframe_second0_frame28_0,6,6.048648,17.846426,0,28,0.14896367490291595,0.16256816685199738,0.13890977203845978,0.18527095019817352,,0.11514537781476974,,
faceframe_second100_frame2906_0,6,-2.2150624,11.426112,100,2906,0.1898786872625351,0.1916956901550293,0.1281139999628067,,,0.10155805945396423,0.17592553794384003,
faceframe_second100_frame2906_1,-1,-0.79600835,13.567977,100,2906,0.10616222023963928,0.28617626428604126,0.21672430634498596,0.10599686950445175,,0.10082491487264633,,
faceframe_second100_frame2906_2,-1,-7.430574,-3.4693108,100,2906,0.11779426038265228,0.14392708241939545,0.32000112533569336,0.13560810685157776,,0.0892440527677536,,
faceframe_second100_frame2906_3,7,-7.265584,13.729976,100,2906,0.11404214799404144,0.23090098798274994,0.16251623630523682,0.18857930600643158,,0.08419277518987656,,
faceframe_second100_frame2913_0,6,-2.1855912,11.40032,100,2913,0.20297998189926147,0.21315155923366547,0.13077639043331146,,,0.09560379385948181,0.14750128984451294,
faceframe_second100_frame2913_1,-1,-7.4214344,-3.4602308,100,2913,0.11779426038265228,0.14392708241939545,0.32000112533569336,0.13560810685157776,,0.0892440527677536,,
faceframe_second100_frame2913_2,-1,-0.7520108,13.611891,100,2913,0.11963234841823578,0.35198572278022766,0.14798393845558167,0.1105402410030365,,0.08698970824480057,,
faceframe_second100_frame2913_3,7,-7.256605,13.7605095,100,2913,0.11404214799404144,0.23090098798274994,0.16251623630523682,0.18857930600643158,,0.08419277518987656,,
faceframe_second100_frame2921_0,6,-2.118773,11.256107,100,2921,0.21673785150051117,0.20936550199985504,0.1304057240486145,,,0.09849800169467926,0.13147050142288208,
faceframe_second100_frame2921_1,-1,-7.423915,-3.4626021,100,2921,0.11779426038265228,0.14392708241939545,0.32000112533569336,0.13560810685157776,,0.0892440527677536,,
faceframe_second100_frame2921_2,-1,-0.75269705,13.61174,100,2921,0.07570669800043106,0.331726610660553,0.24064765870571136,0.11506173014640808,,0.06948483735322952,,
faceframe_second100_frame2921_3,7,-7.267409,13.775218,100,2921,0.11404214799404144,0.23090098798274994,0.16251623630523682,0.18857930600643158,,0.08419277518987656,,
faceframe_second100_frame2928_0,-1,-0.7896204,13.576048,100,2928,0.09623856097459793,0.3572658598423004,0.19271205365657806,0.10129418224096298,,0.08097799867391586,,
faceframe_second100_frame2928_1,6,-2.17196,11.255831,100,2928,0.21251830458641052,0.22660449147224426,0.14174775779247284,,,0.09432632476091385,0.1129453033208847,
faceframe_second100_frame2928_2,-1,-7.418423,-3.45722,100,2928,0.11779426038265228,0.14392708241939545,0.32000112533569336,0.13560810685157776,,0.0892440527677536,,
faceframe_second100_frame2928_3,7,-7.256008,13.763211,100,2928,0.11404214799404144,0.23090098798274994,0.16251623630523682,0.18857930600643158,,0.08419277518987656,,
faceframe_second101_frame2935_0,6,-2.127647,11.342021,101,2935,0.1626506745815277,0.3437107801437378,0.15075239539146423,0.08973536640405655,,0.08109510689973831,,
faceframe_second101_frame2935_1,-1,-7.437513,-3.4762478,101,2935,0.11779426038265228,0.14392708241939545,0.32000112533569336,0.13560810685157776,,0.0892440527677536,,
faceframe_second101_frame2935_2,-1,-0.7102933,13.653994,101,2935,0.08610490709543228,0.38339510560035706,0.14108234643936157,0.15135838091373444,,0.07050789892673492,,
faceframe_second101_frame2935_3,7,-7.289485,13.793952,101,2935,0.11404214799404144,0.23090098798274994,0.16251623630523682,0.18857930600643158,,0.08419277518987656,,
faceframe_second101_frame2942_0,5,12.703394,11.0376625,101,2942,0.2594170868396759,0.1503639817237854,0.11824117600917816,,,0.10507354140281677,0.11437413096427917,
faceframe_second101_frame2950_0,5,12.644252,11.123002,101,2950,0.27332454919815063,0.18626853823661804,0.11870817840099335,,,0.09307467937469482,0.09071475267410278,
faceframe_second101_frame2957_0,5,12.545293,11.163687,101,2957,0.18370749056339264,0.20830534398555756,0.1419094204902649,0.09845809638500214,,0.11070758104324341,,
faceframe_second102_frame2964_0,5,12.644282,11.047983,102,2964,0.21622183918952942,0.20296038687229156,0.13304492831230164,,,0.10137036442756653,0.09390340000391006,
faceframe_second102_frame2971_0,5,12.324292,11.407454,102,2971,0.23495495319366455,0.16249187290668488,0.14057990908622742,,0.10280217230319977,0.10029115527868271,,
faceframe_second102_frame2979_0,5,12.331745,11.417453,102,2979,0.17844972014427185,0.16866518557071686,0.12428611516952515,,0.1336027979850769,0.11574965715408325,,
faceframe_second4_frame129_0,6,7.463569,17.853436,4,129,0.17940491437911987,,0.12869608402252197,0.12482921034097672,0.14928579330444336,0.13046014308929443,,
faceframe_second4_frame137_0,6,7.494848,17.84774,4,137,0.16790463030338287,,0.13969512283802032,0.14797821640968323,0.13117165863513947,0.12306671589612961,,
faceframe_second4_frame144_0,6,7.5258408,17.814009,4,144,0.13084810972213745,,0.14752483367919922,0.13763004541397095,0.13162550330162048,0.147914320230484,,
faceframe_second50_frame1456_0,5,7.5886617,14.106797,50,1456,0.13965147733688354,0.243007093667984,0.11901772767305374,0.1561785787343979,,0.09965138137340546,,
faceframe_second50_frame1463_0,5,7.576078,14.119967,50,1463,0.13965147733688354,0.243007093667984,0.11901772767305374,0.1561785787343979,,0.09965138137340546,,
faceframe_second50_frame1471_0,5,7.574143,14.122989,50,1471,0.139608234167099,0.2427779585123062,0.11892708390951157,0.15603025257587433,,0.0997883677482605,,
faceframe_second50_frame1478_0,5,7.5895224,14.132383,50,1478,0.139608234167099,0.2427779585123062,0.11892708390951157,0.15603025257587433,,0.0997883677482605,,
faceframe_second51_frame1485_0,5,7.644143,14.185046,51,1485,0.139608234167099,0.2427779585123062,0.11892708390951157,0.15603025257587433,,0.0997883677482605,,
faceframe_second51_frame1492_0,5,7.5624905,14.10649,51,1492,0.139608234167099,0.2427779585123062,0.11892708390951157,0.15603025257587433,,0.0997883677482605,,
faceframe_second140_frame4066_0,8,-5.2283835,11.770573,140,4066,0.19820867478847504,0.19378076493740082,0.1481715738773346,0.1305057555437088,,0.0977775901556015,,
faceframe_second140_frame4066_1,5,10.721655,9.590474,140,4066,0.15798258781433105,0.23024605214595795,0.15105795860290527,0.10272151231765747,,,0.1080385372042656,
faceframe_second140_frame4066_2,3,2.0119824,2.9757051,140,4066,0.13537949323654175,0.13685692846775055,0.14075732231140137,0.1324387639760971,,,0.12505218386650085,
faceframe_second140_frame4073_0,5,10.789586,9.553535,140,4073,0.18487998843193054,0.22544310986995697,0.13882507383823395,0.09856364876031876,,,0.09902608394622803,
faceframe_second140_frame4073_1,3,1.8900447,3.0003715,140,4073,0.15718169510364532,0.13739348948001862,0.11347749084234238,0.1672583967447281,,,,0.10903338342905045
faceframe_second140_frame4081_0,5,10.805164,9.53379,140,4081,0.20321768522262573,0.21520055830478668,0.10941103100776672,0.11376882344484329,,,0.1042201966047287,
faceframe_second140_frame4081_1,3,1.7293432,3.1978414,140,4081,0.16491550207138062,0.16087350249290466,0.13954252004623413,0.1734253317117691,,,,0.09447401016950607
faceframe_second140_frame4088_0,5,10.854455,9.554258,140,4088,0.182094544172287,0.20189563930034637,0.1284794807434082,0.10310985893011093,,,0.1102784126996994,
faceframe_second140_frame4088_1,3,1.6632036,3.340062,140,4088,0.1744043529033661,0.1896168440580368,0.12125323712825775,0.14985279738903046,0.0947791188955307,,,
faceframe_second141_frame4095_0,5,10.887601,9.535186,141,4095,0.17395269870758057,0.19100871682167053,0.12072797864675522,0.11261981725692749,,,0.11359705030918121,
faceframe_second141_frame4095_1,3,1.7459761,3.1984084,141,4095,0.13362260162830353,0.1665428727865219,0.1284140944480896,0.16704747080802917,0.12453726679086685,,,
faceframe_second141_frame4102_0,5,10.849508,9.542448,141,4102,0.18948088586330414,0.20142775774002075,0.1332455575466156,0.10342450439929962,,,0.1007603332400322,
faceframe_second141_frame4102_1,3,1.7533817,3.1864915,141,4102,0.15189877152442932,0.1546841263771057,0.14196252822875977,0.12863977253437042,0.12509025633335114,,,
faceframe_second141_frame4110_0,5,10.833783,9.521806,141,4110,0.17430396378040314,0.18459652364253998,0.128384068608284,,,0.10756587237119675,0.11387348175048828,
faceframe_second141_frame4110_1,3,1.7999249,3.113893,141,4110,0.186039537191391,0.16796620190143585,0.13304570317268372,0.14289551973342896,0.1195998266339302,,,
faceframe_second102_frame2986_0,5,12.312448,11.455565,102,2986,0.16572904586791992,0.17388734221458435,0.13791970908641815,,0.12122754007577896,0.11500989645719528,,
faceframe_second106_frame3102_0,5,12.73015,11.019283,106,3102,0.29811105132102966,0.16148582100868225,0.11629929393529892,,0.09639438986778259,,0.10423334687948227,
faceframe_second113_frame3305_0,5,9.601524,11.45339,113,3305,0.2690458297729492,0.15445703268051147,0.133314847946167,,0.09761165827512741,0.11524193733930588,,
faceframe_second120_frame3508_0,3,1.8278662,6.5051036,120,3508,0.2097432166337967,0.15087108314037323,0.12697748839855194,,,0.10356176644563675,,0.11612802743911743
faceframe_second124_frame3624_0,-1,1.8831916,6.549662,124,3624,0.1964416801929474,0.13148856163024902,,0.11571960151195526,,0.11358603835105896,,0.12520556151866913
faceframe_second128_frame3740_0,-1,11.24163,3.981072,128,3740,0.12697294354438782,0.07744232565164566,,,0.07265499979257584,0.09755272418260574,0.4640117585659027,
faceframe_second131_frame3827_0,8,-6.041169,11.214903,131,3827,0.14728176593780518,0.18623220920562744,0.15647496283054352,0.13269652426242828,0.11424451321363449,,,
faceframe_second135_frame3943_0,8,-5.9653897,11.396481,135,3943,0.22464197874069214,0.13774393498897552,0.11138398200273514,,0.14420479536056519,,0.1059819906949997,
faceframe_second147_frame4269_0,3,4.1175327,3.6894717,147,4269,0.1398894190788269,0.13123774528503418,0.13092690706253052,,,0.1326095014810562,,0.1263231486082077
faceframe_second150_frame4356_0,3,3.9701889,3.6614614,150,4356,0.21533793210983276,0.2391463965177536,0.13256913423538208,0.10162560641765594,,0.10838941484689713,,
faceframe_second150_frame4356_1,0,21.66445,3.943103,150,4356,0.17588602006435394,0.13184796273708344,,,0.12903070449829102,0.13671459257602692,0.11985936760902405,
faceframe_second150_frame4356_2,2,-2.0694933,-8.983287,150,4356,0.23783691227436066,0.1399240344762802,0.14697588980197906,0.11710000038146973,0.11738467961549759,,,
faceframe_second22_frame666_0,4,16.45049,16.364216,22,666,0.20252937078475952,0.18333421647548676,0.2016979604959488,0.10965726524591446,,0.08841172605752945,,
