,0,1,2,3,4,5,6,7,8
faceframe_second154_frame4472_0,1.60708850993163e-309,3.53240204299256e-309,1.0,4.063116031173706e-309,2.423120241987644e-309,2.398185166849033e-309,2.100392022452335e-309,2.425105410462666e-309,2.491681151411985e-309
faceframe_second154_frame4472_1,1.0,1.81386775514355e-309,1.604001290812274e-309,2.11986569221851e-309,3.32638422845306e-309,2.81641156370027e-309,1.49714601643641e-309,1.39716686525456e-309,1.520462547173735e-309
faceframe_second154_frame4472_2,0.012526299491618601,0.01974714390495505,0.023112966981880083,0.7205831610987159,0.014406470169298647,0.01638937575506647,0.012585532980491598,0.014986126469418142,0.016893525880591457
faceframe_second0_frame13_0,0.024434187576857686,0.03512248477173862,0.03397444519290918,0.038805720829706375,0.03472415021560741,0.04392674266575706,0.18495585046276616,0.05746806910958602,0.09918963744865156
faceframe_second0_frame21_0,1.51786568169021e-309,2.17318103472497e-309,2.130033336180745e-309,2.232732261532463e-309,2.28014946386056e-309,2.906086795930724e-309,1.0,2.86240362956224e-309,4.24432020546029e-309
faceframe_second0_frame28_0,1.5163316278945e-309,2.169906849749946e-309,2.119796092328593e-309,2.22651445337776e-309,2.27333123858189e-309,2.889355652687544e-309,1.0,2.880245622304293e-309,4.280996050573846e-309
faceframe_second100_frame2906_0,0.023762455043685703,0.03390081369557317,0.03281480283155616,0.03763708642829396,0.03355145319398493,0.042384086611548154,0.16994449194467715,0.05640783256448116,0.09729382855171996
faceframe_second100_frame2906_1,0.014324235986334378,0.028769138404033938,0.02460792167932646,0.034415981221965444,0.01693629927317869,0.019171493710828803,0.02532721760486511,0.03842993308185524,0.04498056491264422
faceframe_second100_frame2906_2,0.004651372731141487,0.008233581267657459,0.005241704308338832,0.005192584106856684,0.005467737779198184,0.005966047423426343,0.005889932128553678,0.004319852149508931,0.004951119963709842
faceframe_second100_frame2906_3,1.408866187416375e-309,2.13975472953323e-309,2.319637657864617e-309,2.625327410331964e-309,1.88720046347436e-309,1.98225660193672e-309,2.818989075210975e-309,1.0,1.055364507327515e-308
faceframe_second100_frame2913_0,0.02375454444351122,0.03387254808717006,0.032798639613340674,0.037619097084818844,0.03354278646100462,0.04237216436861893,0.1697497274514479,0.05639923019473928,0.09726493810338316
faceframe_second100_frame2913_1,0.004639342201728052,0.008197224932226197,0.005227163945953792,0.005177569385013278,0.005453478858088703,0.005951954746149233,0.005879771927347793,0.0043084312052085825,0.004938297005612591
faceframe_second100_frame2913_2,0.01429416666817888,0.028730644278241232,0.02458068724682328,0.03438211208442163,0.016891732965509484,0.019117072154521405,0.025191385335157877,0.038188307036023224,0.044626726302513624
faceframe_second100_frame2913_3,1.41131047589835e-309,2.14713463056869e-309,2.33040968781913e-309,2.63529781050778e-309,1.89392257874039e-309,1.989236166304777e-309,2.829121648575794e-309,1.0,1.0685719217424225e-308
