,0,1,2,3,4,5,6,7,8
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second154_frame4472.jpg,0.012640796339843274,0.7177181929948202,0.014576835810972289,0.01977658937482937,0.013104960244390184,0.011902217551816988,0.013439875730329254,0.016451140304377783,0.012417078901822835
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second39_frame1137.jpg,2.38364253206927e-309,1.91695521703241e-309,1.84491777618723e-309,2.09897747677609e-309,1.940426843938097e-309,1.0,1.187360613893598e-308,4.20904868268749e-309,3.137864145158967e-309
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second0_frame13.jpg,2.77055751383941e-309,2.631962355840446e-309,2.276711416560953e-309,2.69552715146112e-309,3.54138608978954e-309,4.06796008393342e-309,4.256274888109855e-309,1.0,4.835331944761846e-309
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second0_frame21.jpg,2.755743216221975e-309,2.63030020661282e-309,2.27266051662135e-309,2.692559194307797e-309,3.517845748519146e-309,4.09399158104468e-309,4.27905360486136e-309,1.0,4.80628193281068e-309
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second0_frame28.jpg,0.0025950071617879497,0.0024808990354186233,0.002144081667636335,0.0025408261118299693,0.003309918957905623,0.003870491804134026,0.004046744399605514,0.9607286067855066,0.004527824048887688
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second0_frame6.jpg,2.76412607811679e-309,2.62924656100781e-309,2.275748472735624e-309,2.69427342826051e-309,3.53453730394824e-309,4.077745589921647e-309,4.264833659933303e-309,1.0,4.831434899631274e-309
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second100_frame2906.jpg,0.04062507828099076,0.03424003901407151,0.03684392190207856,0.03764012278401377,0.3470940901505008,0.035133797051910144,0.03608134409998435,0.06234571469815411,0.06935777076165847
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second100_frame2913.jpg,0.04102437888769929,0.03458930953828307,0.03723608975402868,0.03802927717238244,0.355658219125728,0.035337460814777004,0.036322282879985804,0.06268465303490865,0.0697455565525085
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second100_frame2921.jpg,0.038773558211501,0.03260055322942469,0.035179564281451386,0.03590403727347029,0.31251954013300687,0.03346773113325995,0.034380422622002145,0.05919275151945043,0.06611796430178557
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second100_frame2928.jpg,0.037283574268825004,0.031251319404756533,0.0338262868876714,0.03449111249071618,0.2859266351482573,0.03212013183896058,0.033000672811449194,0.05661865057345198,0.06355058693615899
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second101_frame2935.jpg,0.03621962879567534,0.030376079479043232,0.03288291432603903,0.0335330890713527,0.2731618050184953,0.031370741679251656,0.03219242861883653,0.05522024514344559,0.06202070749717073
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second101_frame2942.jpg,0.03636798821102686,0.030557956751820603,0.03302064575813309,0.033690045587078055,0.28034120415598696,0.031595952786328374,0.03240138088403424,0.05565206082853603,0.06235036167330335
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second101_frame2950.jpg,0.03777111051318866,0.03171564385046244,0.034270154503873655,0.03496545627910962,0.29489047463188867,0.03264685986242157,0.033524602412081654,0.057651581418124126,0.06454356707936788
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second101_frame2957.jpg,0.035743338335832965,0.029923300206687403,0.03245782975941063,0.033084070847222535,0.2640792031704129,0.03090252667369884,0.03172235757021089,0.05432486056303799,0.06120422612858976
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second102_frame2964.jpg,0.03558442809235525,0.02979001521061931,0.03231384740468477,0.032934111035785335,0.26159607839982296,0.030763157043635293,0.03157915214807768,0.054059148404367666,0.060900666709256375
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second102_frame2971.jpg,0.036672195436348275,0.030720188448719217,0.03326820161708084,0.03392306459661791,0.2747524357571854,0.03167609654373225,0.03252957607933553,0.05582850387806702,0.06271966460734935
/media/jahaziel/Datos/proyectos/Smarketing/dataset/YouTubeVideos/Why_Is_Everyone_Supporting_Ding_Liren?/frames/second102_frame2979.jpg,0.03582597505528765,0.029912393342252853,0.03251826716771356,0.03312567695345204,0.25878482243396767,0.03079364180373621,0.03165382757235143,0.05414289269063559,0.0611698340020994
