,0,1,2,3,4
faceframe_second0_frame14_0,0.01299374188649682,0.011235019841373204,0.013027237146118276,0.02136622108540904,0.01818819138748948
faceframe_second0_frame14_1,0.12492225753628458,0.11630880002795217,0.1470400259488218,0.22322982989908485,0.19642318137693862
faceframe_second0_frame14_2,0.8152631451037435,0.036143212023058584,0.03253089169595893,0.036711832212610165,0.03597360282523953
faceframe_second0_frame14_3,0.13869473175140482,0.22460699527915254,0.09568893752954456,0.13453309051554374,0.13144612163472502
faceframe_second0_frame14_4,0.01165252438185607,0.013070472975577351,0.9336412742618978,0.016909695868246897,0.024726032512421958
faceframe_second0_frame19_0,0.01299443755136712,0.011234272913465045,0.01302658931641398,0.021366181761250422,0.01818664606503947
faceframe_second0_frame19_1,0.12492222300656007,0.11630869015282289,0.1470398549178425,0.22322947520266953,0.1964228720483081
faceframe_second0_frame19_2,0.9516426758397982,0.012152105387650453,0.01103527645640922,0.012789052754899628,0.012380889561242548
faceframe_second0_frame19_3,0.01699001217948926,0.021439180644808837,0.8861265190105463,0.02168368411407297,0.03017314728821415
faceframe_second0_frame19_4,0.13869487629307758,0.22460696865750457,0.09568896080920657,0.13453306419996588,0.13144612496052752
faceframe_second0_frame4_0,0.012994041735057605,0.011236016961927858,0.013027999027625234,0.02136907977164158,0.01819064748217383
faceframe_second0_frame4_1,0.1249221807594176,0.11630866884083213,0.14703982084831355,0.22322944969547204,0.19642282537213754
faceframe_second0_frame4_2,0.9430544226411276,0.014347729725762778,0.013001788572552552,0.015028109095819517,0.01456794996473753
faceframe_second0_frame4_3,0.13869477373580047,0.22460800096109235,0.09568923433570148,0.13453408003796372,0.1314469961902093
faceframe_second0_frame9_0,0.012994078666090661,0.011232024589657361,0.013024551677821555,0.02136141955944146,0.018181011886067983
faceframe_second0_frame9_1,0.12492221200745285,0.11630863537669095,0.14703972204017982,0.22322934222451057,0.19642268621252065
faceframe_second0_frame9_2,0.85635964995303,0.015550473962093608,0.014088484586639275,0.01625303292983758,0.015762014589654896
faceframe_second0_frame9_3,0.13869413019073124,0.22460082801760584,0.09568681682554443,0.13452555278290307,0.13143964075016176
faceframe_second100_frame2004_0,0.022370144333252007,0.023250455586971953,0.8742852895951267,0.03317218721912039,0.046921923265528916
faceframe_second100_frame2004_1,1.0,1.11883135324048e-309,1.022729848382746e-309,1.17402764132024e-309,1.13311396802669e-309
faceframe_second100_frame2009_0,0.01796783115038085,0.018804870251674433,0.8987185615440489,0.02664308487406445,0.037865652179831386
faceframe_second100_frame2009_1,0.7510191535555893,0.020355548040082636,0.019054545070696476,0.021923209814434786,0.021195815344648834
faceframe_second100_frame2014_0,0.028425784040408242,0.029272790715932383,0.8410190170001389,0.04212914085273142,0.05915326739078907
faceframe_second100_frame2014_1,0.957571522346446,0.010570245559757543,0.009717932197081634,0.011284639011223131,0.010855660885491657
faceframe_second100_frame2019_0,1.18723702274517e-309,1.186265762617326e-309,1.0,1.746974660062737e-309,2.405092306407566e-309
faceframe_second100_frame2019_1,0.9714810544037027,0.0071466128961940895,0.006550263549505145,0.007548464878599567,0.007273604271998413
faceframe_second101_frame2024_0,0.0118717093235123,0.012353797178387738,0.9348352347416956,0.01701753482312104,0.023921723933283363
faceframe_second101_frame2024_1,1.0,1.114713640264897e-309,1.02209497724808e-309,1.177110348196685e-309,1.13433448609607e-309
faceframe_second101_frame2029_0,0.002648239787164637,0.002612144624793383,0.9857437274396988,0.0038101947077239947,0.0051856934406191895
faceframe_second101_frame2029_1,1.0,1.11363499045289e-309,1.020437217950705e-309,1.174371828161073e-309,1.131878440673e-309
